,Fixed (W),Fixed (P),SP (W),SP (P)
1. JAGARA NZ (1),2.6,1.09,SP,SP
2. YESNOMAYBESO (2),4.2,1.28,SP,SP
3. ALABAMA LIONESS (3),26.0,3.6,SP,SP
4. ROCK OF DELIGHT (4),16.0,3.4,SP,SP
5. ARENA QUEEN (5),8.0,2.25,SP,SP
6. MERRY JEWEL (6),8.0,2.3,SP,SP
7. ART ON FIRE NZ (1),4.6,1.3,SP,SP
8. OLLIE OLLIE (2),17.0,3.0,SP,SP
9. SHES IN LINE NZ (3),11.0,2.8,SP,SP
